Alloys,Phase,Tg,Tx,Tl,Rc_mm/s,Dmax_mm,Predicted_Tg,Predicted_Tx,Predicted_Tl,delta_Tx,Trg,gamma,Predicted_Phase,Phase_Confidence,Predicted_Dmax_mm,Predicted_Rc_Ks
Al85Ni5Fe2Gd8,MG,570,NAN,1173,3820,0.25,521.124,555.5034,1159.5027,34.37939453125,0.4494375303595902,0.33053349384435765,Metalic_Glass,0.9886003829083722,0.2056964,4210.124184536153
Al87.5Ni4Sm8.5,MG,508,NAN,1268,7200,NAN,512.73456,545.403,1218.1812,32.66845703125,0.4209017329803374,0.31509507473080367,Metalic_Glass,0.9888054395138061,0.2883621,5071.670866079024
Al85.8Co9.1Y5.1,MG,484,NAN,1185,5160,NAN,509.1522,538.61395,1217.0422,29.461761474609375,0.41835211298684755,0.3120239203991787,Metalic_Glass,0.9886314072991166,0.22691236,6462.16341025665
Al86Ni7Y5Co1La1,MG,500,506,1205,3320,1,483.66098,511.06992,1207.1326,27.408935546875,0.4006693157835659,0.3022663034168176,Metalic_Glass,0.9886933552969278,0.49415982,5062.8358206748635
Al40La35Y10Ni15,MMG,446,470,841,NAN,NAN,446.9674,475.30045,837.9027,28.333038330078125,0.5334359250937377,0.3699210053986184,Metalic_Glass,0.9882772843223007,0.41171336,796.7520925734229
Al85.8Ni9.1Ce5.1,MG,510,NAN,1200,4890,NAN,501.351,528.7957,1162.7833,27.4447021484375,0.4311646050646469,0.31776023313547536,Metalic_Glass,0.9886885874451085,0.37652588,4735.448708446651
Al86Ni8Y4.5La1.5,MG,512,NAN,1207,3380,0.85,497.3962,525.5534,1184.6311,28.157196044921875,0.4198743458960989,0.3124523612828503,Metalic_Glass,0.9886405028842832,0.28217328,5009.804025741491
Al85.7Ni9.1Gd5.2,MG,505,NAN,1198,5240,NAN,489.81226,516.4086,1187.874,26.59637451171875,0.41234360394711206,0.30781000997845837,Metalic_Glass,0.9886744117381987,0.30533364,5147.0421695422
Al85.6Ni9.2Sm5.2,MG,507,NAN,1206,3300,0.785,502.80038,532.2453,1204.9257,29.444915771484375,0.41728747387103576,0.3116690187258772,Metalic_Glass,0.9883394497966621,0.32035992,5026.012823437973
Al14La66Cu10Ni10,MMG,409,437,681,NAN,NAN,408.9113,443.3677,687.42645,34.4564208984375,0.5948436866692504,0.4044079583474311,Metalic_Glass,0.9883550644726755,6.7714686,5.303029573465699
Al30Ni30Co8Y31Ce1,MG,713.5,742.5,NAN,NAN,0.035,711.8378,742.44464,1273.2822,30.6068115234375,0.5590573831471782,0.37400490656082713,Metalic_Glass,0.9864317123955525,0.04593515,58.19688073457034
Al30Ni30Co8Y30Ce2,MG,704,740.5,NAN,NAN,0.035,703.7692,734.613,1269.1111,30.84375,0.5545371362329725,0.3723555718655842,Metalic_Glass,0.9838379721886925,0.052798815,58.09234219123766
Al30Ni30Co8Y29Ce3,MG,702,746.5,NAN,NAN,0.035,706.00665,742.0544,1241.5183,36.0477294921875,0.5686639067941279,0.3810243238355072,Metalic_Glass,0.9839358562862695,0.050769445,78.50389165709696
Al30Ni30Co8Y28Ce4,MG,704.5,738,NAN,NAN,0.035,700.93353,735.3151,1237.8384,34.381591796875,0.5662560998748369,0.37926850502846876,Metalic_Glass,0.9869260632063348,0.048723064,76.90915275198695
Al30Ni30Co8Y27Ce5,MG,701,732.5,NAN,NAN,0.035,698.57367,732.6578,1236.5166,34.0841064453125,0.5649529238433635,0.37861684638710336,Metalic_Glass,0.9844194808132254,0.046990823,75.38510153675716
Al30Ni30Co8Y24Ce8,MG,692,714,NAN,NAN,0.035,689.4888,722.2122,1231.2174,32.72344970703125,0.560005702879389,0.3760138994593066,Metalic_Glass,0.9809860706397125,0.041905068,123.98870761011922
Al86Ni7Y4.5Co1La1.5,MG,504,NAN,1196,3040,1,501.75476,531.0416,1194.3352,29.286865234375,0.42011217504834936,0.3130975577228444,Metalic_Glass,0.9877064187946454,0.5154696,5019.560497256672
Al86Ni6Y4.5Co2La1.5,MG,505,NAN,1197,3010,1,502.86737,532.3026,1194.2932,29.43524169921875,0.42105855176748963,0.31364304443611457,Metalic_Glass,0.9887126455935545,0.53188515,5029.126137627809
Al83.3Ni6.86Y7.84Be2,MMG,523,538,1179,NAN,NAN,502.925,530.75287,1180.598,27.827880859375,0.42599172472322944,0.3152632101965131,Metalic_Glass,0.9886515080612036,0.3514309,124.6956012705211
Al81.6Ni6.72Y7.68Be4,MMG,509,524,1190,NAN,NAN,498.802,525.22363,1190.7454,26.421630859375,0.4188989671114694,0.31086647478912305,Metalic_Glass,0.9885025142333864,0.43094358,125.2000045655454
Al79.9Ni6.58Y7.52Be6,MMG,480,546,1175,NAN,NAN,493.6822,527.79407,1185.1897,34.11187744140625,0.41654276195649553,0.31437423629795236,Metalic_Glass,0.9885765557664815,0.55872333,125.74188994806138
Al69Cu15.64Mg7.36Ni8,MMG,583,652,1036,NAN,NAN,575.1032,639.56445,1029.0938,64.46124267578125,0.5588443331321551,0.39868200033610873,Metalic_Glass,0.9887611860378852,1.6605037,3.24482623324964
Al9.1Cr30.3Fe45.5Ni15.2,CMA,851,972,1370,NAN,NAN,843.75226,976.0395,1370.8254,132.2872314453125,0.615506711516374,0.4407339109104293,CMA,0.9972629038616752,2.0495825,77215.94844119437
Al4.8Cr31.8Fe47.6Ni15.9,CMA,880,1077,1468,NAN,NAN,872.60455,1070.5409,1457.0273,197.93634033203125,0.5988937386561358,0.45953220976492015,CMA,0.9972969716949903,1.5169393,75882.08351327742
Al7.7Co30.8Fe30.8Ni30.8,CMA,871,1043,1437,NAN,NAN,859.13495,1035.0416,1431.4731,175.90667724609375,0.6001753871615949,0.4518632537016455,CMA,0.9973342079561255,1.3170943,79039.26614225777
Al73.5Cu16.66Mg7.84Ni2,MMG,562,637,989,NAN,NAN,567.24866,634.18445,1005.6656,66.935791015625,0.564052965301264,0.40319073338805456,Metalic_Glass,0.9887340971777785,1.3898896,3.6442776746149588
Al71.25Cu16.15Mg7.6Ni5,MMG,572,644,1013,NAN,NAN,570.50256,636.2104,1017.87,65.70782470703125,0.5604866694305892,0.40054229389788526,Metalic_Glass,0.9880256882320056,1.5772176,3.433506382690349
Al72.75Cu16.49Mg7.76Ni3,MMG,566,640,997,NAN,NAN,568.4377,634.9857,1008.733,66.54803466796875,0.5635165096607199,0.4026106598188787,Metalic_Glass,0.9881654202284245,1.4787008,3.571804131469461
Al11.8Cr29.4Fe44.1Ni14.7,CMA,838,910,1303,NAN,NAN,832.7796,909.8487,1299.8586,77.069091796875,0.6406693580150035,0.4266305812245134,CMA,0.9973860014705529,1.5988678,77625.3936607034
