Tg,Tx,Tl,Rc,Dmax,Phase
836.0,803,1249,NAN,NAN,CMA
812.0,786,1240,NAN,NAN,CMA
786.0,826,1263,NAN,NAN,CMA
781.0,817,1257,NAN,NAN,CMA
778.0,805,1241,NAN,NAN,CMA
781.0,814,1252,NAN,NAN,CMA
841.0,1009,1439,NAN,NAN,CMA
812.0,881,1302,NAN,NAN,CMA
799.0,840,1262,NAN,NAN,CMA
808.0,847,1257,NAN,NAN,CMA
781.0,814,1252,NAN,NAN,CMA
800.0,840,1260,NAN,NAN,CMA
829.0,975,1412,NAN,NAN,CMA
778.0,817,1260,NAN,NAN,CMA
812.0,918,1357,NAN,NAN,CMA
820.0,896,1312,NAN,NAN,CMA
796.0,837,1261,NAN,NAN,CMA
804.0,837,1250,NAN,NAN,CMA
821.0,925,1352,NAN,NAN,CMA
787.0,813,1240,NAN,NAN,CMA
811.0,902,1335,NAN,NAN,CMA
847.0,1016,1436,NAN,NAN,CMA
806.0,849,1265,NAN,NAN,CMA
797.0,833,1253,NAN,NAN,CMA
804.0,843,1258,NAN,NAN,CMA
820.0,922,1350,NAN,NAN,CMA
813.0,904,1333,NAN,NAN,CMA
824.0,961,1399,NAN,NAN,CMA
900.0,1105,1473,NAN,NAN,CMA
801.0,848,1270,NAN,NAN,CMA
822.0,903,1319,NAN,NAN,CMA
805.0,842,1254,NAN,NAN,CMA
797.0,840,1264,NAN,NAN,CMA
822.0,903,1319,NAN,NAN,CMA
797.0,833,1253,NAN,NAN,CMA
811.0,852,1260,NAN,NAN,CMA
792.0,884,1340,NAN,NAN,CMA
820.0,925,1352,NAN,NAN,CMA
814.0,856,1262,NAN,NAN,CMA
809.0,861,1277,NAN,NAN,CMA
812.0,880,1301,NAN,NAN,CMA
820.0,905,1324,NAN,NAN,CMA
808.0,856,1270,NAN,NAN,CMA
798.0,830,1248,NAN,NAN,CMA
905.0,1111,1473,NAN,NAN,CMA
810.0,845,1252,NAN,NAN,CMA
784.0,845,1293,NAN,NAN,CMA
820.0,927,1357,NAN,NAN,CMA
776.0,820,1268,NAN,NAN,CMA
789.0,875,1330,NAN,NAN,CMA
809.0,876,1300,NAN,NAN,CMA
802.0,849,1270,NAN,NAN,CMA
809.0,876,1300,NAN,NAN,CMA
802.0,849,1270,NAN,NAN,CMA
783.0,837,1282,NAN,NAN,CMA
812.0,877,1296,NAN,NAN,CMA
796.0,836,1260,NAN,NAN,CMA
802.0,849,1270,NAN,NAN,CMA
804.0,844,1259,NAN,NAN,CMA
774.0,819,1270,NAN,NAN,CMA
796.0,836,1260,NAN,NAN,CMA
793.0,832,1260,NAN,NAN,CMA
813.0,878,1296,NAN,NAN,CMA
807.0,853,1269,NAN,NAN,CMA
776.0,916,1262,NAN,NAN,CMA
830.0,797,1250,NAN,NAN,CMA
811.0,891,1318,NAN,NAN,CMA
792.0,824,1248,NAN,NAN,CMA
779.0,820,1263,NAN,NAN,CMA
777.0,834,1287,NAN,NAN,CMA
807.0,854,1269,NAN,NAN,CMA
796.0,835,1259,NAN,NAN,CMA
788.0,850,1294,NAN,NAN,CMA
792.0,827,1253,NAN,NAN,CMA
804.0,863,1288,NAN,NAN,CMA
785.0,833,1273,NAN,NAN,CMA
781.0,835,1282,NAN,NAN,CMA
800.0,843,1264,NAN,NAN,CMA
787.0,841,1282,NAN,NAN,CMA
844.0,972,1381,NAN,NAN,CMA
903.0,1110,1475,NAN,NAN,CMA
778.0,820,1264,NAN,NAN,CMA
903.0,1110,1475,NAN,NAN,CMA
800.0,846,1270,NAN,NAN,CMA
800.0,846,1270,NAN,NAN,CMA
800.0,846,1270,NAN,NAN,CMA
797.0,841,1266,NAN,NAN,CMA
801.0,843,1263,NAN,NAN,CMA
808.0,857,1273,NAN,NAN,CMA
799.0,845,1270,NAN,NAN,CMA
791.0,879,1333,NAN,NAN,CMA
801.0,843,1263,NAN,NAN,CMA
801.0,843,1263,NAN,NAN,CMA
797.0,830,1250,NAN,NAN,CMA
808.0,862,1280,NAN,NAN,CMA
795.0,834,1259,NAN,NAN,CMA
792.0,825,1249,NAN,NAN,CMA
796.0,839,1264,NAN,NAN,CMA
804.0,846,1263,NAN,NAN,CMA
777.0,830,1282,NAN,NAN,CMA
804.0,846,1263,NAN,NAN,CMA
795.0,832,1256,NAN,NAN,CMA
775.0,818,1267,NAN,NAN,CMA
795.0,829,1250,NAN,NAN,CMA
794.0,832,12580,NAN,NAN,CMA
789.0,823,1251,NAN,NAN,CMA
789.0,823,1251,NAN,NAN,CMA
792.0,826,1250,NAN,NAN,CMA
794.0,832,1258,NAN,NAN,CMA
803.0,836,1250,NAN,NAN,CMA
796.0,840,1266,NAN,NAN,CMA
791.0,825,1252,NAN,NAN,CMA
796.0,840,1266,NAN,NAN,CMA
798.0,842,1266,NAN,NAN,CMA
787.0,827,1260,NAN,NAN,CMA
796.0,859,1296,NAN,NAN,CMA
798.0,842,1266,NAN,NAN,CMA
791.0,826,1253,NAN,NAN,CMA
794.0,827,1250,NAN,NAN,CMA
773.0,809,1255,NAN,NAN,CMA
785.0,820,1253,NAN,NAN,CMA
785.0,820,1253,NAN,NAN,CMA
869.0,999,1380,NAN,NAN,CMA
797.0,838,1263,NAN,NAN,CMA
793.0,848,1283,NAN,NAN,CMA
790.0,845,1284,NAN,NAN,CMA
776.0,808,1249,NAN,NAN,CMA
796.0,835,1259,NAN,NAN,CMA
762.0,820,1291,NAN,NAN,CMA
782.0,811,1245,NAN,NAN,CMA
804.0,848,1267,NAN,NAN,CMA
804.0,848,1267,NAN,NAN,CMA
789.0,831,1264,NAN,NAN,CMA
789.0,831,1264,NAN,NAN,CMA
773.0,803,1247,NAN,NAN,CMA
773.0,803,1247,NAN,NAN,CMA
793.0,825,1249,NAN,NAN,CMA
842.0,969,1381,NAN,NAN,CMA
791.0,844,1281,NAN,NAN,CMA
787.0,818,1247,NAN,NAN,CMA
792.0,866,1311,NAN,NAN,CMA
778.0,837,1291,NAN,NAN,CMA
778.0,837,1291,NAN,NAN,CMA
842.0,966,1377,NAN,NAN,CMA
774.0,809,1255,NAN,NAN,CMA
788.0,826,1258,NAN,NAN,CMA
794.0,828,1251,NAN,NAN,CMA
793.0,825,1249,NAN,NAN,CMA
774.0,811,1257,NAN,NAN,CMA
805.0,876,1305,NAN,NAN,CMA
849.0,928,1311,NAN,NAN,CMA
800.0,846,1269,NAN,NAN,CMA
795.0,827,1249,NAN,NAN,CMA
793.0,825,1249,NAN,NAN,CMA
796.0,824,1243,NAN,NAN,CMA
794.0,827,1251,NAN,NAN,CMA
792.0,826,1251,NAN,NAN,CMA
835.0,899,1292,NAN,NAN,CMA
794.0,830,1256,NAN,NAN,CMA
769.0,806,1257,NAN,NAN,CMA
813.0,849,1252,NAN,NAN,CMA
794.0,835,1263,NAN,NAN,CMA
773.0,815,1266,NAN,NAN,CMA
772.0,812,1262,NAN,NAN,CMA
773.0,815,1266,NAN,NAN,CMA
779.0,861,1327,NAN,NAN,CMA
791.0,833,1287,NAN,NAN,CMA
785.0,842,1287,NAN,NAN,CMA
773.0,816,1267,NAN,NAN,CMA
796.0,837,1262,NAN,NAN,CMA
773.0,816,1268,NAN,NAN,CMA
760.0,816,1288,NAN,NAN,CMA
779.0,841,1295,NAN,NAN,CMA
795.0,837,1263,NAN,NAN,CMA
774.0,814,1261,NAN,NAN,CMA
795.0,837,1263,NAN,NAN,CMA
808.0,839,1247,NAN,NAN,CMA
795.0,890,1344,NAN,NAN,CMA
772.0,836,1299,NAN,NAN,CMA
809.0,866,1283,NAN,NAN,CMA
783.0,823,1261,NAN,NAN,CMA
779.0,814,1254,NAN,NAN,CMA
771.0,876,1364,NAN,NAN,CMA
798.0,855,1286,NAN,NAN,CMA
782.0,822,1261,NAN,NAN,CMA
827.0,875,1269,NAN,NAN,CMA
820.0,874,1279,NAN,NAN,CMA
786.0,839,1280,NAN,NAN,CMA
771.0,821,1277,NAN,NAN,CMA
827.0,876,1271,NAN,NAN,CMA
777.0,821,1268,NAN,NAN,CMA
777.0,824,1274,NAN,NAN,CMA
775.0,834,1291,NAN,NAN,CMA
737,744,1188,NAN,NAN,CMA
773.0,824,1280,NAN,NAN,CMA
806.0,837,1247,NAN,NAN,CMA
798.0,851,1280,NAN,NAN,CMA
787.0,853,1300,NAN,NAN,CMA
759.0,818,1293,NAN,NAN,CMA
810.0,866,1283,NAN,NAN,CMA
776.0,832,1286,NAN,NAN,CMA
776.0,832,1286,NAN,NAN,CMA
793.0,849,1284,NAN,NAN,CMA
806.0,837,1247,NAN,NAN,CMA
806.0,837,1247,NAN,NAN,CMA
772.0,828,1288,NAN,NAN,CMA
784.0,821,1256,NAN,NAN,CMA
776.0,832,1286,NAN,NAN,CMA
563,602,1121,NAN,NAN,CMA
778.0,845,1302,NAN,NAN,CMA
782.0,844,1294,NAN,NAN,CMA
308,471,787,NAN,NAN,CMA
307,462,796,NAN,NAN,CMA
772.0,931,1292,NAN,NAN,CMA
782.0,843,1293,NAN,NAN,CMA
772.0,831,1292,NAN,NAN,CMA
783.0,855,1310,NAN,NAN,CMA
783.0,855,1310,NAN,NAN,CMA
782.0,845,1297,NAN,NAN,CMA
773.0,833,1292,NAN,NAN,CMA
784.0,851,1304,NAN,NAN,CMA
726,746,1167,NAN,NAN,CMA
784.0,851,1304,NAN,NAN,CMA
785.0,852,1301,NAN,NAN,CMA
785.0,852,1301,NAN,NAN,CMA
794.0,877,1326,NAN,NAN,CMA
866.0,999,1385,NAN,NAN,CMA
866.0,999,1385,NAN,NAN,CMA
812.0,879,1299,NAN,NAN,CMA
781.0,849,1304,NAN,NAN,CMA
815.0,904,1332,NAN,NAN,CMA
779.0,841,1297,NAN,NAN,CMA
776.0,840,1298,NAN,NAN,CMA
651,713,1096,NAN,NAN,CMA
846.0,927,1315,NAN,NAN,CMA
783.0,849,1302,NAN,NAN,CMA
778.0,848,1310,NAN,NAN,CMA
789.0,832,1266,NAN,NAN,CMA
782.0,853,1310,NAN,NAN,CMA
867.0,975,1349,NAN,NAN,CMA
776.0,838,1297,NAN,NAN,CMA
779.0,845,1300,NAN,NAN,CMA
568,604,1129,NAN,NAN,CMA
779.0,865,1333,NAN,NAN,CMA
839.0,864,1236,NAN,NAN,CMA
782.0,856,1313,NAN,NAN,CMA
287,461,747,NAN,NAN,CMA
