Alloys,Phase,Tg_K,Tx_K,Tl_K,Rc_mm/s,Dmax_mm
Al8.3Co16.7Cr16.7Cu8.3Fe16.7Ni33.3,CMA,834.0,1000.0,1438.0,NAN,NAN
Al6.8Co22.7Cr22.7Fe22.7Ni22.7Ti2.3,CMA,848.0,1017.0,1439.0,NAN,NAN
Al5.88Co23.53Cr23.53Fe23.53Ni23.53,CMA,873.0,1048.0,1439.0,NAN,NAN
Al3.85Cr19.23Cu19.23Fe19.23Ni38.46,CMA,840.0,1007.0,1438.0,NAN,NAN
Al3.3Co24.2Cr16.1Fe16.1Ni24.2Ti16.1,CMA,855.0,951.0,1335.0,NAN,NAN
Al6.98Co23.26Cr23.26Cu23.26Fe23.26,CMA,820.0,930.0,1361.0,NAN,NAN
Al4.2Co21.3Cr21.3Fe21.3Ni21.3Ti10.6,CMA,863.0,1036.0,1440.0,NAN,NAN
Al5.7Co18.9Cr18.9Cu18.9Fe18.9Ni18.9,CMA,829.0,994.0,1438.0,NAN,NAN
Al6.2Co20.8Cr20.8Cu10.4Fe20.8Ni20.8,CMA,841.0,1008.0,1439.0,NAN,NAN
Al5.7Cr18.9Cu18.9Fe18.9Mn18.9Ni18.9,CMA,810.0,901.0,1335.0,NAN,NAN
Al11.11Cr22.22Fe33.33Mn22.22Ni11.11,CMA,800.0,835.0,1253.0,NAN,NAN
Al9.1Co18.2Cr18.2Cu18.2Fe18.2Ni18.2,CMA,821.0,924.0,1352.0,NAN,NAN
Al9.1Cr18.2Cu18.2Fe18.2Mn18.2Ni18.2,CMA,814.0,871.0,1285.0,NAN,NAN
Al3.51Co26.32Cr17.54Fe17.54Ni26.32Ti8.77,CMA,851.0,1024.0,1443.0,NAN,NAN
Al3.23Co24.19Cr16.13Fe16.13Ni24.19Ti16.13,CMA,855.0,951.0,1335.0,NAN,NAN
Al6.3Co15.6Cr15.6Fe15.6Mn15.6Ni15.6V15.6,CMA,840.0,912.0,1302.0,NAN,NAN
Al3.85Co19.23Cr19.23Fe19.23Mn19.23Ni19.23,CMA,842.0,981.0,1399.0,NAN,NAN
Al1.96Co19.61Cr19.61Fe19.61Mn19.61Ni19.61,CMA,843.0,1011.0,1439.0,NAN,NAN
Al7.06Co18.59Cr18.59Fe18.59Mn18.59Ni18.59,CMA,824.0,934.0,1361.0,NAN,NAN
Al8.93Co18.21Cr18.21Fe18.21Mn18.21Ni18.21,CMA,812.0,878.0,1298.0,NAN,NAN
Al7.92Co18.42Cr18.42Fe18.42Mn18.42Ni18.42,CMA,814.0,882.0,1300.0,NAN,NAN
Al10Co15Cr20Fe15Mn20Ni10V10,CMA,804.0,843.0,1257.0,NAN,NAN
Al10.07Co17.99Cr17.99Fe17.99Mn17.99Ni17.99,CMA,808.0,861.0,1280.0,NAN,NAN
