feature,importance
MagpieData maximum Row,0.00043330951369740297
atomic_mass_range,0.0004056653996900579
MagpieData maximum AtomicWeight,0.000400597650767172
0-norm,0.0003954812500799357
MagpieData avg_dev NsValence,0.00039377231051787543
MagpieData maximum Column,0.00038946981605559694
MagpieData mode NfValence,0.00038030545189901885
num_elements,0.0003772580311017783
MagpieData mode NsValence,0.000356654066259513
MagpieData mean NfUnfilled,0.00035583042606332553
MagpieData range AtomicWeight,0.0003329096293221291
MagpieData avg_dev NfUnfilled,0.00029108672844157136
MagpieData minimum NsValence,0.00020496071902040484
fraction_lanthanoid_actinoid,0.00019707847692981189
MagpieData mode SpaceGroupNumber,0.00019132651912496458
fraction_metal,0.000181511241699156
MagpieData range NfValence,0.00017634001220629442
MagpieData maximum NfUnfilled,0.0001720758741762415
MagpieData mean GSbandgap,0.00017027647802312414
MagpieData range NfUnfilled,0.00015715605666053847
MagpieData range NsValence,0.0001552976606866978
MagpieData maximum NsUnfilled,0.00014911433462914825
MagpieData maximum NfValence,0.00014788083405838665
MagpieData avg_dev GSbandgap,0.00013770595802037384
MagpieData range NsUnfilled,0.00012303499011738763
MagpieData mode NfUnfilled,0.00010908139210358732
MagpieData range GSbandgap,9.897009627166137e-05
MagpieData maximum GSbandgap,7.577718005742736e-05
MagpieData mode GSbandgap,3.4596332089268206e-05
MagpieData minimum GSmagmom,6.733121163856297e-06
